Sediment,Nom_Cu,Treat,Day,Depth,Sed_pH,LOI,AVS,Mean_TOT_Cu,TOT_Cu,TOT_Fe,TOT_Mn,SEM_Cu,ASC_Cu,ASC_Fe,DITH_Cu,DITH_Fe,DITH_Mn,dw_corr,Pore_Cu
Ocoee,900,F,10,surface,6.69,6.15,0.18,1030,594,43,421,233,0.91,1981,8.19,13258,328,0.64,
Ocoee,2100,F,10,surface,6.85,7.69,0.001,2260,1862,36,451,463,1.87,1646,14.15,11396,153,0.64,
Ocoee,0,F,38,surface,7.39,6.23,0.66,24.5,24,39,461,4.59,0.1,2135,1.23,10326,151,0.64,
Ocoee,160,F,38,surface,7.39,7.1,1.05,220,143,40,492,27,0.04,1058,3.33,16182,214,0.64,
Ocoee,380,F,38,surface,7.42,7.41,0.11,555,322,42,506,64.8,0.11,1470,2.55,14637,158,0.64,
Ocoee,900,F,38,surface,7.51,6.8,0.2,1030,559,36,416,294,0.21,1126,8.33,14521,166,0.64,
Ocoee,2100,F,38,surface,7.48,7.08,0.065,2260,1545,35,409,507,1.34,1636,21.07,10652,145,0.64,
Ocoee,0,S,10,surface,6.72,8.14,0.72,24,25,38,508,1.33,0.05,1642,1.4,11099,181,0.64,
Ocoee,160,S,10,surface,6.56,7.69,1.79,272,204,45,538,56.3,0.24,1545,6.83,13550,196,0.64,
Ocoee,380,S,10,surface,6.41,6.8,1.01,667,233,29,318,129,0.49,1973,8.27,15144,193,0.64,
Ocoee,900,S,10,surface,5.9,6.76,0.19,1250,892,45,468,237,1.55,1724,14.02,10886,165,0.64,
Ocoee,2100,S,10,surface,5.41,7.1,0.004,2430,1765,33,355,636,2.05,1827,18.03,11161,119,0.64,
Ocoee,0,S,38,surface,7.02,6.4,1.9,24,21,37,418,4.12,0.07,1445,0.36,12153,135,0.64,
Ocoee,160,S,38,surface,6.92,6.29,1.21,272,151,44,475,58.7,0.2,1754,1.94,8728,139,0.64,
Ocoee,380,S,38,surface,7.35,6.92,0.53,667,327,40,458,161,0.34,1401,8.01,8238,140,0.64,
Ocoee,900,S,38,surface,7.33,7.17,0.18,1250,821,42,418,330,0.58,1389,5.33,16306,146,0.64,
Ocoee,2100,S,38,surface,6.71,7.93,0.009,2430,1875,35,334,800,3.4,1783,20.59,9868,108,0.64,
